year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1960,14.5,14.3,3.5,2.7,0.2,0,0,0,0,0.8,3.5,12,,6.4,0,4.3,51.4
1961,12.7,1.6,4.8,0.8,0.6,0,0,0,0,0.7,6.4,19.1,26.3,6.2,0,7.1,46.8
1962,8.9,10.6,21.1,2.6,0.9,0.6,0,0,0,1.3,9,20.2,38.6,24.7,0.6,10.4,75.4
1963,28.3,26.7,8,1.7,0.1,0,0,0,0,0,2.6,15.4,75.3,9.9,0,2.6,83
1964,13,10.3,10.4,2.2,0,0,0,0,0.1,2.4,4.5,16.6,38.6,12.6,0,7,59.4
1965,15.5,13.3,12.6,2.9,0.8,0,0,0,0,0.3,13.4,9.5,45.4,16.3,0,13.7,68.3
1966,15.6,7.2,5.7,4,0.1,0,0,0,0,1,6,7.1,32.3,9.8,0,6.9,46.6
1967,10.7,8,2.6,2.7,1.8,0,0,0,0,0.1,7.9,12.8,25.8,7.1,0,8,46.6
1968,12.9,20.4,6.7,9.3,0.7,0,0,0,0,0,4.1,14,46.1,16.7,0,4.1,68.1
1969,7.8,19.4,14.6,7.1,0.2,0,0,0,0.3,0.1,10,14.3,41.1,21.9,0,10.4,73.8
1970,11,15.3,16.3,8.7,0,0,0,0,0,0.7,2.9,12.4,40.6,25,0,3.7,67.4
1971,8.1,9,10.1,3.6,1.3,0,0,0,0,1,11,4.6,29.6,15,0,12,48.8
1972,10.5,5.9,6.4,0.7,0.1,0,0,0,0.1,1,8.3,5.6,21,7.2,0,9.4,38.6
1973,10.3,12,10.3,4.4,0.7,0,0,0,0,2.6,10.2,11.2,28,15.4,0,12.8,61.9
1974,4.8,6.4,7.4,3.2,1,0,0,0,0.2,1.4,3,1.9,22.4,11.6,0,4.6,29.4
1975,3.8,8.9,9.5,6.1,1,0.1,0,0,0.2,0.7,7.8,9.6,14.6,16.6,0.1,8.7,47.6
1976,9.2,9.7,12.4,4.3,0.2,0,0,0,0.1,0,6.4,18.6,28.5,16.9,0,6.5,60.9
1977,15.7,6.1,4.6,6.1,1,0,0,0,0,0,7.1,3.3,40.4,11.7,0,7.1,43.9
1978,13.7,16.2,5.5,6.6,0,0,0,0,0,0.1,5.4,13.2,33.2,12.2,0,5.5,60.8
1979,26.1,21,9.7,4.5,4.3,0,0,0,0.2,0.4,7.1,8,60.3,18.6,0,7.7,81.3
1980,18.4,5.2,9.2,2.9,1.1,0,0,0,0,2.2,7.1,9.4,31.6,13.1,0,9.2,55.4
1981,12.3,18.2,3.5,4.1,1.4,0,0,0,0,3,3.1,21.2,39.8,9.1,0,6.1,66.7
